Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
ACE,SET100 / SETTHSI    ,2.68,3.42,2.52,18.55,1.90,5088.00,27271.68,51.17,0.91
ADVANC,SET50 / SETHD / SETTHSI    ,202.00,242.00,181.50,23.55,7.69,2974.21,600790.37,1183.12,0.73
AEONTS,SET    ,192.50,209.00,152.00,11.93,2.21,250.00,48125.00,120.47,1.14
AH,sSET / SETTHSI    ,31.25,35.75,19.40,7.19,1.16,354.84,11088.81,83.22,1.49
AIE,sSET    ,3.02,5.10,2.56,22.66,1.95,1326.61,4006.37,10.86,1.17
AIMIRT,SET    ,12.20,13.30,11.70,999.99,0.99,5954.81,7264.87,2.61,0.10
AIT,sSET    ,6.60,8.35,5.40,15.09,2.42,1331.13,8785.43,43.69,1.41
AJ,sSET / SETCLMV / SETTHSI    ,13.20,19.60,11.70,13.81,1.23,440.00,5808.00,9.89,0.96
AMATA,SET100 / SETCLMV / SETTHSI    ,20.20,23.00,17.10,10.12,1.21,1150.00,23230.00,221.49,1.56
ANAN,sSET    ,1.47,1.64,1.11,999.99,0.42,416.63,6124.39,40.53,1.27
AOT,SET50 / SETTHSI    ,73.50,76.50,60.25,999.99,10.36,14285.70,1049998.95,2213.14,0.73
AP,SET100 / SETHD / SETTHSI    ,11.40,12.00,9.00,6.27,1.01,3145.90,35863.25,251.00,0.80
ASIAN,sSET / SETTHSI    ,14.00,19.40,12.90,11.17,2.67,814.09,11397.23,21.19,0.96
ASK,SET    ,35.75,49.50,28.25,13.06,1.91,2639.22,18870.40,58.88,1.73
ASP,sSET    ,3.06,4.20,2.92,13.17,1.37,2105.66,6443.31,9.08,0.68
ASW,sSET / SETTHSI    ,8.05,9.40,7.35,7.61,1.33,856.12,6891.78,8.46,0.48
AWC,SET50 / SETTHSI    ,6.15,6.55,4.50,57.63,2.42,32000.77,196804.74,352.81,1.10
BA,SET    ,13.50,14.70,8.40,999.99,1.68,2100.00,28350.00,60.30,1.31
BAM,SET100 / SETTHSI    ,16.20,22.30,14.50,18.40,1.22,16160.21,52359.09,525.35,1.35
