Name|Full Name|Sector|Sub Sector|Market|Website
2S|2S METAL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.ss.co.th
AAV|ASIA AVIATION PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET / SETTHSI|www.aavplc.com
ACE|ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100|www.ace-energy.co.th
ADVANC|ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET50 / SETHD / SETTHSI|investor.ais.co.th
AEONTS|AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET100|www.aeon.co.th
AH|AAPICO HITECH PUBLIC COMPANY LIMITED|Industrials|Automotive|sSET / SETTHSI|www.aapico.com
AIE|AI ENERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET|www.aienergy.co.th
AIMIRT|AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.aimreit.com
AIT|ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.|Technology|Information & Communication Technology|sSET|www.ait.co.th
AJ|A.J. PLAST PUBLIC COMPANY LIMITED|Industrials|Packaging|sSET / SETCLMV|www.ajplast.co.th
AKR|EKARAT ENGINEERING PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.ekarat.co.th
ALUCON|ALUCON PUBLIC COMPANY LIMITED|Industrials|Packaging|SET|www.alucon.th.com
AMANAH|AMANAH LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.amanah.co.th
AMARIN|AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET|www.amarin.com
AMATA|AMATA CORPORATION PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETCLMV / SETTHSI|www.amata.com
AMC|ASIA METAL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.asiametal.co.th
ANAN|ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.ananda.co.th
AOT|AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET50 / SETTHSI / SETWB|www.airportthai.co.th
AP|AP (THAILAND) PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD|www.apthai.com
APCS|ASIA PRECISION PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|sSET|www.asiaprecision.com
APURE|AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.apureholdings.com
ARROW|ARROW SYNDICATE PUBLIC COMPANY LIMITED|Property & Construction|Property & Construction|mai|www.arrowpipe.com
ASIAN|ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET / SETTHSI|www.asianseafoods.co.th
ASK|ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.ask.co.th
ASP|ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.asiaplusgroup.co.th
ASW|ASSETWISE PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.assetwise.co.th
AWC|ASSET WORLD CORP PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET50 / SETTHSI|https://www.assetworldcorp-th.com
AYUD|ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED|Financials|Insurance|SET|www.ayud.co.th
BA|BANGKOK AIRWAYS PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SETWB|www.bangkokair.com
BAM|BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET100|www.bam.co.th
BANPU|BANPU PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETTHSI|www.banpu.com
